City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,4.99,79,76,19.36,TF,1702529974
1,waitangi,-43.9535,-176.5597,12.12,83,67,4.02,NZ,1702529974
2,tura,25.5198,90.2201,21.55,42,0,0.91,IN,1702529974
3,la sarre,48.8002,-79.1996,-10.83,91,84,2.59,CA,1702529723
4,vorgashor,67.5833,63.95,-16.78,97,99,3.48,RU,1702529975
5,cozumel,20.5083,-86.9458,26.08,98,94,4.47,MX,1702529760
6,puerto natales,-51.7236,-72.4875,3.07,79,62,2.2,CL,1702529975
7,morondava,-20.2833,44.2833,29.79,60,47,2.38,MG,1702529976
8,yellowknife,62.456,-114.3525,0.31,71,0,9.26,CA,1702529698
9,hauterive,46.0901,3.4459,6.11,95,99,3.57,FR,1702529976
10,grytviken,-54.2811,-36.5092,3.32,93,85,1.5,GS,1702529976
11,constitucion,-35.3333,-72.4167,12.64,73,43,5.43,CL,1702529757
12,edinburgh of the seven seas,-37.0676,-12.3116,15.76,91,100,6.67,SH,1702529976
13,hawaiian paradise park,19.5933,-154.9731,22.73,88,75,4.12,US,1702529977
14,guangyuan,32.442,105.823,11.18,70,100,3.41,CN,1702529977
15,cockburn town,21.4612,-71.1419,26.12,68,100,11.34,TC,1702529800
16,iqaluit,63.7506,-68.5145,-13.15,78,75,2.57,CA,1702529977
17,guerrero negro,27.9769,-114.0611,16.36,78,0,3.42,MX,1702529911
18,aquitania,5.5197,-72.8875,9.39,96,88,0.61,CO,1702529978
19,puerto ayora,-0.7393,-90.3518,24.01,90,69,3.73,EC,1702529978
20,lebu,-37.6167,-73.65,10.96,86,0,8.34,CL,1702529979
21,papatowai,-46.5619,169.4708,13.08,60,99,3.68,NZ,1702529979
22,bethel,41.3712,-73.414,1.53,64,2,0.45,US,1702529682
23,jolo,6.05,121.0167,29.57,70,100,2.82,PH,1702529979
24,raduzhny,62.0961,77.475,-13.96,95,100,3.89,RU,1702529980
25,tyukhtet,56.5389,89.3011,-20.96,93,100,5.14,RU,1702529980
26,adamstown,-25.066,-130.1015,23.35,87,89,4.65,PN,1702529980
27,prince rupert,54.3161,-130.3201,6.83,74,100,13.38,CA,1702529980
28,huarmey,-10.0681,-78.1522,20.67,87,31,3.93,PE,1702529981
29,esquel,-42.9,-71.3167,7.42,72,100,2.49,AR,1702529981
30,phan rang-thap cham,11.5667,108.9833,31.05,57,48,6.24,VN,1702529981
31,albany,42.6001,-73.9662,-1.85,74,33,1.79,US,1702529981
32,toamasina,-18.1667,49.3833,27.43,69,94,0.53,MG,1702529982
33,georgetown,5.4112,100.3354,31.08,87,20,2.57,MY,1702529982
34,tolanaro,-25.0319,46.9987,27.81,72,45,5.19,MG,1702529983
35,avarua,-21.2078,-159.775,25.03,94,100,3.6,CK,1702529983
36,lihue,21.9789,-159.3672,23.58,75,100,8.23,US,1702529746
37,kodiak,57.79,-152.4072,-8.25,79,98,5.7,US,1702529983
38,gizo,-8.103,156.8419,28.45,77,99,3.98,SB,1702529983
39,victorica,-36.2151,-65.4359,21.25,48,0,5.07,AR,1702529984
40,darnah,32.767,22.6367,17.75,55,8,6.93,LY,1702529984
41,barra de santo antonio,-9.4047,-35.5072,22.6,76,8,1.97,BR,1702529984
42,usinsk,65.9939,57.5281,-13.22,94,100,7.6,RU,1702529984
43,petropavlovsk-kamchatsky,53.0452,158.6483,-4.67,46,75,8.0,RU,1702529984
44,nova sintra,14.8667,-24.7167,21.4,66,98,3.66,CV,1702529985
45,margaret river,-33.95,115.0667,22.07,43,13,7.68,AU,1702529753
46,jamestown,42.097,-79.2353,-3.03,81,0,1.54,US,1702529985
47,korsholm,63.1142,21.6822,-9.44,89,100,2.24,FI,1702529985
48,margate,51.3813,1.3862,4.83,89,99,0.89,GB,1702529985
49,fort st. john,56.2499,-120.8529,1.94,51,20,5.66,CA,1702529986
50,ugoofaaru,5.6667,73.0,28.73,74,74,7.58,MV,1702529986
51,marysville,48.0518,-122.1771,9.51,70,100,1.34,US,1702529986
52,necochea,-38.5473,-58.7368,11.57,72,0,4.58,AR,1702529986
53,tual,-5.6667,132.75,28.77,76,93,6.32,ID,1702529987
54,bredasdorp,-34.5322,20.0403,16.59,59,100,2.81,ZA,1702529987
55,chui,-33.6971,-53.4616,19.91,95,0,0.88,UY,1702529987
56,woolgoolga,-30.1106,153.2007,33.36,65,70,7.19,AU,1702529987
57,kirillov,59.863,38.3813,-10.57,94,100,3.77,RU,1702529988
58,tazovsky,67.4667,78.7,-19.19,95,100,3.7,RU,1702529988
59,muravlenko,63.7898,74.523,-13.48,95,100,4.3,RU,1702529988
60,wailua homesteads,22.0669,-159.378,21.53,77,96,1.34,US,1702529988
61,blackmans bay,-43.0167,147.3167,21.07,79,85,5.85,AU,1702529989
62,hermanus,-34.4187,19.2345,16.41,64,100,0.98,ZA,1702529989
63,susuman,62.7833,148.1667,-22.96,97,100,2.69,RU,1702529989
64,rye,40.9807,-73.6837,3.3,55,0,5.66,US,1702529943
65,pasuquin,18.3328,120.6177,33.97,46,20,6.69,PH,1702529989
66,port mathurin,-19.6833,63.4167,26.47,75,6,6.01,MU,1702529990
67,aldama,22.9167,-98.0667,20.83,92,98,1.92,MX,1702529990
68,mount pearl,47.5166,-52.7813,3.25,90,100,5.14,CA,1702529971
69,afaahiti,-17.75,-149.2833,25.93,87,92,8.34,PF,1702529990
70,caleta de carquin,-11.0925,-77.6267,20.26,87,17,4.32,PE,1702529990
71,vadso,70.0744,29.7487,-8.91,79,20,5.66,NO,1702529724
72,kapa'a,22.0752,-159.319,22.28,75,95,1.34,US,1702529991
73,polyarnyy,69.1989,33.4478,-16.66,100,86,4.26,RU,1702529991
74,hithadhoo,-0.6,73.0833,28.61,73,59,4.36,MV,1702529992
75,vila franca do campo,37.7167,-25.4333,14.23,70,100,4.54,PT,1702529992
76,westport,41.1415,-73.3579,2.99,60,1,5.46,US,1702529939
77,pedernales,18.0384,-71.744,25.31,61,69,1.75,DO,1702529992
78,olonkinbyen,70.9221,-8.7187,1.89,97,100,16.12,SJ,1702529992
79,aldan,58.6031,125.3894,-26.13,94,100,6.27,RU,1702529992
80,nishinoomote,30.7333,131.0,22.31,68,75,4.12,JP,1702529993
81,tiksi,71.6872,128.8694,-19.41,100,100,2.09,RU,1702529993
82,revda,56.801,59.9303,-18.78,84,100,1.29,RU,1702529993
83,chonchi,-42.6128,-73.8092,9.56,95,100,1.25,CL,1702529728
84,ribeira brava,32.65,-17.0667,19.35,62,81,5.6,PT,1702529993
85,torghay,49.6339,63.4981,-14.91,56,39,5.21,KZ,1702529993
86,kudahuvadhoo,2.6708,72.8944,27.5,78,45,2.45,MV,1702529994
87,taulaga,-11.0553,-171.0883,26.6,86,100,5.4,AS,1702529994
88,bilibino,68.0546,166.4372,-24.7,98,88,2.64,RU,1702529994
89,santa maria,-29.6842,-53.8069,22.1,96,100,0.99,BR,1702529966
90,funadhoo,6.15,73.2667,28.82,74,98,5.81,MV,1702529994
91,ghanzi,-21.5667,21.7833,25.05,51,75,5.96,BW,1702529995
92,calabozo,8.9242,-67.4293,26.7,64,80,3.08,VE,1702529995
93,port elizabeth,-33.918,25.5701,18.51,86,20,10.29,ZA,1702529995
94,kavaratti,10.5669,72.642,28.93,70,48,4.47,IN,1702529995
95,quellon,-43.1167,-73.6167,8.62,91,96,2.19,CL,1702529995
96,aasiaat,68.7098,-52.8699,-9.29,74,100,4.54,GL,1702529995
97,enewetak,11.3474,162.3373,27.7,80,89,9.77,MH,1702529996
98,daru,-9.0763,143.2092,31.97,60,96,3.38,PG,1702529996
99,santiago de cao,-7.9589,-79.2392,20.07,88,75,3.6,PE,1702529996
100,fale old settlement,-9.3852,-171.2468,26.07,89,100,4.37,TK,1702529996
101,cide,41.8921,33.0044,10.78,62,100,5.17,TR,1702529997
102,greymouth,-42.4667,171.2,15.39,66,61,2.82,NZ,1702529864
103,tangalle,6.024,80.7911,28.09,84,99,0.91,LK,1702529997
104,talnakh,69.4865,88.3972,-26.0,99,100,5.16,RU,1702529997
105,queenstown,-31.8976,26.8753,17.6,61,46,1.58,ZA,1702529997
106,ola,59.5833,151.2833,-12.14,71,100,7.07,RU,1702529998
107,alice springs,-23.7,133.8833,36.75,20,1,5.66,AU,1702529998
108,hami,42.8,93.45,-9.84,55,100,0.7,CN,1702529998
109,hamilton,39.1834,-84.5333,1.08,69,0,0.89,US,1702529935
110,constantia,44.1833,28.65,8.38,94,100,4.83,RO,1702529999
111,linares,-35.85,-71.6,12.69,41,58,2.16,CL,1702529999
112,badger,64.8,-147.5333,-16.22,85,75,1.54,US,1702529999
113,aleg,17.0481,-13.9209,21.59,20,23,5.0,MR,1702529999
114,egilsstadir,65.2653,-14.3948,5.95,75,0,7.2,IS,1702529999
115,taunggyi,20.7833,97.0333,22.33,54,3,3.08,MM,1702529999
116,uturoa,-16.7333,-151.4333,27.25,83,74,7.9,PF,1702530001
117,luanda,-8.8368,13.2343,26.0,89,40,1.03,AO,1702529770
118,gadzhiyevo,69.2551,33.3362,-10.84,95,68,5.23,RU,1702530017
119,san antonio de pale,-1.4014,5.6325,26.65,82,11,3.7,GQ,1702530019
120,mweka,-4.85,21.5667,19.65,98,93,0.86,CD,1702530020
121,udachny,66.4167,112.4,-25.31,83,100,4.08,RU,1702530021
122,severo-yeniseyskiy,60.3725,93.0408,-26.33,94,100,2.73,RU,1702530021
123,crane,31.3974,-102.3501,11.42,88,100,9.89,US,1702530022
124,ust-nera,64.5667,143.2,-25.73,100,100,3.27,RU,1702530023
125,vilyuchinsk,52.9306,158.4028,-3.85,74,98,14.71,RU,1702530023
126,dudinka,69.4058,86.1778,-24.07,94,100,8.05,RU,1702530024
127,xinmin,41.9908,122.8253,-7.7,22,100,8.9,CN,1702530025
128,whitehorse,60.7161,-135.0538,-4.57,80,75,5.14,CA,1702530027
129,bouznika,33.7894,-7.1597,11.87,100,40,3.09,MA,1702530029
130,tshikapa,-6.4167,20.8,21.0,98,76,0.52,CD,1702530031
131,birjand,32.8663,59.2211,6.26,36,20,2.06,IR,1702530033
132,vegreville,53.5001,-112.0518,3.39,80,100,1.03,CA,1702530035
133,sangueya,10.7,-14.3667,21.44,88,25,1.84,GN,1702530036
134,longyearbyen,78.2186,15.6401,0.91,75,75,5.14,SJ,1702530037
135,qaqortoq,60.7167,-46.0333,-20.24,83,26,2.83,GL,1702530037
136,la passe,45.5549,-0.8967,8.13,76,78,5.65,FR,1702530037
137,heihe,50.2441,127.4902,-18.67,62,0,4.29,CN,1702530038
138,thompson,55.7435,-97.8558,-2.91,80,20,4.12,CA,1702530038
139,ancud,-41.8697,-73.8203,9.95,85,75,2.83,CL,1702529917
140,windsor,42.3001,-83.0165,1.73,77,100,3.6,CA,1702530039
141,naryn,41.4287,75.9911,-19.06,62,0,1.73,KG,1702530039
142,nemuro,43.3236,145.575,-2.24,58,55,13.36,JP,1702530040
143,bay roberts,47.5999,-53.2648,3.92,89,100,2.24,CA,1702530041
144,lobujya,27.95,86.8167,-5.45,42,0,1.22,NP,1702530041
145,merizo village,13.2658,144.6691,30.85,82,79,9.85,GU,1702530042
146,hancheng,32.5186,112.3522,1.64,84,100,5.67,CN,1702530042
147,leh,34.1667,77.5833,-7.31,50,1,0.53,IN,1702529949
148,yinchuan,38.4681,106.2731,-2.52,68,100,1.89,CN,1702530043
149,christchurch,-43.5333,172.6333,16.41,67,100,5.14,NZ,1702529931
150,hudson,40.7168,-74.0663,3.34,45,20,6.17,US,1702529748
151,mineiros,-17.5694,-52.5511,23.59,61,36,1.38,BR,1702530044
152,st. john's,47.5649,-52.7093,3.71,89,100,5.14,CA,1702529958
153,minas de marcona,-15.2119,-75.1103,18.84,73,5,0.6,PE,1702530044
154,baiyin,36.5583,104.2081,-5.51,51,92,11.6,CN,1702530045
155,mpulungu,-8.7623,31.1141,22.78,87,91,1.08,ZM,1702530045
156,arraial do cabo,-22.9661,-42.0278,19.98,97,12,2.35,BR,1702530046
157,zakynthos,37.7914,20.8953,17.68,90,100,4.68,GR,1702530046
158,kerikeri,-35.2268,173.9474,22.17,67,7,0.89,NZ,1702530046
159,invercargill,-46.4,168.35,15.17,54,78,2.83,NZ,1702530046
160,gurupi,-11.7292,-49.0686,25.24,63,57,1.82,BR,1702530047
161,igarka,67.4667,86.5833,-25.94,97,99,5.16,RU,1702530047
162,bandarbeyla,9.4942,50.8122,26.26,68,54,8.52,SO,1702530048
163,iskateley,67.6803,53.1512,-14.23,96,97,3.0,RU,1702530048
164,mount darwin,-16.7725,31.5838,20.67,87,100,2.4,ZW,1702530048
165,kiunga,-6.1219,141.2906,32.01,59,87,0.88,PG,1702530048
166,klyuchi,52.2667,79.1667,-19.72,66,100,4.8,RU,1702530049
167,kodinsk,58.6881,99.1844,-25.31,87,100,2.23,RU,1702530049
168,ceelbuur,4.685,46.6176,26.02,71,51,5.81,SO,1702530049
169,weatherford,32.7593,-97.7972,11.16,47,99,2.24,US,1702529949
170,meulaboh,4.1363,96.1285,29.41,69,67,2.15,ID,1702530050
171,ciudad lazaro cardenas,17.9583,-102.2,26.25,53,97,1.69,MX,1702529913
172,broome,42.2506,-75.833,-0.62,87,100,3.6,US,1702530050
173,sogndal,61.2283,7.1003,-1.79,93,100,1.54,NO,1702530050
174,remire-montjoly,4.9167,-52.2667,24.02,100,20,0.0,GF,1702530051
175,cieza,38.24,-1.4199,11.62,62,0,4.8,ES,1702530051
176,isafjordur,66.0755,-23.124,3.91,76,84,4.0,IS,1702530051
177,keflavik,64.0049,-22.5624,5.24,70,75,20.06,IS,1702530052
178,atafu village,-8.5421,-172.5159,28.05,78,100,4.82,TK,1702530052
179,port saint john's,-31.6229,29.5448,20.94,75,7,1.86,ZA,1702529857
180,perevoz,55.5961,44.5446,-11.52,94,100,5.11,RU,1702530053
181,magnaga,7.1694,125.8931,31.99,66,15,1.93,PH,1702530053
182,coyhaique,-45.5752,-72.0662,9.97,71,75,2.06,CL,1702530053
183,kalemie,-5.9475,29.1947,21.03,97,98,1.24,CD,1702530053
184,takoradi,4.8845,-1.7554,23.31,78,0,1.27,GH,1702530053
185,tacuarembo,-31.7333,-55.9833,20.37,94,49,1.31,UY,1702530054
186,stanley,54.868,-1.6985,1.51,96,20,2.57,GB,1702530054
187,manggar,-2.8833,108.2667,31.02,61,37,3.91,ID,1702530055
188,okhotsk,59.3833,143.3,-27.81,75,82,10.95,RU,1702530055
189,labytnangi,66.6572,66.4183,-16.59,88,98,2.27,RU,1702530055
190,island harbour,50.724,-1.2758,4.4,90,93,0.45,GB,1702530055
191,brisas de zicatela,15.8369,-97.0419,24.26,63,66,1.87,MX,1702530056
192,ribeira grande,38.5167,-28.7,15.43,74,72,3.58,PT,1702530056
193,xining,36.6167,101.7667,-1.59,52,53,3.02,CN,1702530057
194,hooper,41.1638,-112.1224,3.89,68,0,8.23,US,1702530057
195,dunedin,-45.8742,170.5036,13.78,68,90,3.19,NZ,1702529910
196,sijunjung,-0.6876,100.9537,31.32,61,37,1.32,ID,1702530058
197,homer,59.6425,-151.5483,-7.2,89,100,5.68,US,1702530058
198,nouadhibou,20.931,-17.0347,20.99,46,0,3.09,MR,1702530058
199,flin flon,54.7682,-101.865,-1.6,73,76,4.7,CA,1702530059
200,es castell,39.8795,4.2854,11.38,76,20,0.51,ES,1702530059
201,ak'ordat,15.5486,37.8867,19.56,66,44,1.55,ER,1702530060
202,newberry,34.2746,-81.6187,5.12,90,84,2.7,US,1702529896
203,kantang,7.4054,99.5156,30.05,70,20,7.72,TH,1702530061
204,labrador city,52.9463,-66.9114,-17.05,78,75,5.14,CA,1702530020
205,bardai,11.65,7.2333,14.18,36,59,5.62,NG,1702530062
206,prince george,53.9166,-122.753,0.9,93,100,2.57,CA,1702529962
207,santander jimenez,24.2167,-98.4667,18.91,94,100,1.98,MX,1702530065
208,cabaritan east,18.4206,121.4897,28.74,65,16,3.86,PH,1702530066
209,alo,7.4178,6.7371,23.18,32,16,0.5,NG,1702530066
210,motygino,58.1831,94.7592,-22.85,94,100,3.27,RU,1702530067
211,dangriga,16.9692,-88.2321,23.38,89,7,3.53,BZ,1702530067
212,weno,7.4515,151.8468,28.33,76,70,6.93,FM,1702530068
213,dalby,-27.1833,151.2667,34.64,23,83,2.43,AU,1702529787
214,zaragoza,41.6561,-0.8773,10.25,59,75,9.77,ES,1702530069
215,whangarei,-35.7317,174.3239,20.6,55,16,3.98,NZ,1702529873
216,akureyri,65.6835,-18.0878,4.96,70,100,3.09,IS,1702530070
217,jinchang,38.4953,102.1739,-6.28,53,97,7.95,CN,1702530070
218,kasama,-10.2129,31.1808,18.66,90,89,0.81,ZM,1702530071
219,utrik,11.2278,169.8474,27.21,85,93,10.31,MH,1702530071
220,nar'yan-mar,67.6713,53.087,-14.18,96,98,3.1,RU,1702530072
221,velyka bahachka,49.7912,33.7226,-0.26,97,100,8.71,UA,1702530073
222,parauapebas,-6.0675,-49.9022,23.36,95,94,0.73,BR,1702530073
223,aykhal,66.0,111.5,-25.9,98,100,2.58,RU,1702530074
224,yuzhno-kurilsk,44.0306,145.8556,-2.57,69,100,13.39,RU,1702530074
225,la foa,-21.7108,165.8276,26.19,60,7,5.99,NC,1702530075
226,karratha,-20.7377,116.8463,33.12,42,1,6.24,AU,1702530075
227,mawu,29.5923,107.3139,18.56,72,33,1.85,CN,1702530076
228,farim,12.4839,-15.2217,19.3,28,45,1.91,GW,1702530076
229,sitka,57.0531,-135.33,3.64,71,100,5.68,US,1702530077
230,kresek,-6.1314,106.3797,32.98,48,33,1.34,ID,1702530077
231,denov,38.2667,67.9,14.14,20,99,2.31,UZ,1702530078
232,le port,-20.9373,55.2919,29.94,84,17,6.22,RE,1702530052
233,ushuaia,-54.8,-68.3,4.81,75,0,1.03,AR,1702530079
234,carnarvon,-24.8667,113.6333,31.09,42,0,8.42,AU,1702529935
235,touba,8.2833,-7.6833,18.68,33,0,0.84,CI,1702530080
236,menongue,-14.6585,17.691,17.09,89,100,2.04,AO,1702530080
237,lorengau,-2.0226,147.2712,29.99,70,70,3.21,PG,1702530082
238,san julian,21.0167,-102.1667,11.97,60,94,0.52,MX,1702530082
239,kuressaare,58.2481,22.5039,0.53,99,100,1.03,EE,1702530083
240,qusmuryn,52.4503,64.6311,-22.37,86,85,1.99,KZ,1702530083
241,emerald,-23.5333,148.1667,33.52,35,0,3.51,AU,1702530084
242,cabo san lucas,22.8909,-109.9124,24.31,75,92,2.24,MX,1702529392
243,punta arenas,-53.15,-70.9167,7.06,65,0,5.14,CL,1702530084
244,puerto aysen,-45.4,-72.7,9.1,99,100,1.91,CL,1702530085
245,west island,-12.1568,96.8225,29.99,70,40,5.66,CC,1702530086
246,hasaki,35.7333,140.8333,16.27,52,49,3.12,JP,1702529790
247,contamana,-7.3333,-75.0167,23.67,96,47,0.73,PE,1702530087
248,hollister,36.8525,-121.4016,11.61,67,0,0.89,US,1702530009
249,asipovichy,53.2933,28.6422,0.23,98,100,4.47,BY,1702530089
250,east london,-33.0153,27.9116,17.52,94,0,3.6,ZA,1702530089
251,gorontalo,0.5412,123.0595,29.39,74,71,1.59,ID,1702530089
252,kamianske,48.5113,34.6021,1.2,93,100,7.44,UA,1702530091
253,kirensk,57.7853,108.1119,-30.58,95,95,2.68,RU,1702530091
254,ijebu-jesa,7.6833,4.8167,19.88,37,1,1.69,NG,1702530092
255,waingapu,-9.6567,120.2641,31.79,55,100,3.92,ID,1702530093
256,williamsburg,37.2707,-76.7075,7.07,74,0,0.89,US,1702529994
257,anse a galets,18.8317,-72.8642,26.31,68,100,2.97,HT,1702530094
258,al ghayzah,16.2079,52.176,23.14,58,0,2.53,YE,1702530095
259,callaway,30.153,-85.5699,12.17,51,0,3.6,US,1702530095
260,saipan,15.1355,145.701,27.98,73,36,9.31,MP,1702530096
261,barra do bugres,-15.0725,-57.1811,25.97,63,45,0.71,BR,1702530097
262,ampanihy,-24.7,44.75,28.66,58,55,3.73,MG,1702530098
263,hukumati azrah,34.1736,69.6457,4.4,27,99,0.81,AF,1702530100
264,chingola,-12.529,27.8838,17.74,98,100,2.04,ZM,1702530100
265,taesal-li,36.9714,126.4542,8.74,83,100,9.81,KR,1702530101
266,misratah,32.3754,15.0925,18.63,37,100,6.16,LY,1702530102
267,dossor,47.5272,52.9811,-7.03,29,100,9.38,KZ,1702530103
268,domanivka,47.6319,30.9885,8.11,90,100,10.81,UA,1702530103
269,murghob,38.1702,73.9667,-13.12,71,39,1.33,TJ,1702530105
270,ketchikan,55.3422,-131.6461,7.41,84,90,6.52,US,1702530050
271,kununurra,-15.7667,128.7333,33.99,59,63,3.09,AU,1702530106
272,yuktae-dong,40.0247,128.1597,1.92,92,100,4.79,KP,1702530106
273,kharkhorin,47.1975,102.8238,-22.98,90,100,1.82,MN,1702530107
274,bellefontaine,40.3612,-83.7597,0.71,55,20,1.54,US,1702530107
275,pionerskiy,54.9508,20.2275,-0.48,89,92,4.5,RU,1702530108
276,shahpura,27.3833,75.9667,20.44,32,16,1.9,IN,1702529857
277,ternate,0.8,127.4,30.0,69,47,2.43,ID,1702530109
278,boyolangu,-8.1181,111.8935,29.57,67,57,4.41,ID,1702530109
279,jayapura,-2.5333,140.7,32.66,76,97,3.97,ID,1702530109
280,satu mare,47.8,22.8833,6.47,93,100,4.12,RO,1702530110
281,nova vicosa,-17.8919,-39.3719,23.61,80,23,3.35,BR,1702530110
282,berriane,32.8265,3.7669,13.45,62,37,8.23,DZ,1702530111
283,wladyslawowo,54.7909,18.4009,2.74,70,99,5.27,PL,1702529950
284,swift current,50.2834,-107.8014,3.45,48,0,9.77,CA,1702530112
285,ilulissat,69.2167,-51.1,-7.99,62,100,5.66,GL,1702530113
286,sao gabriel da cachoeira,-0.1303,-67.0892,23.62,98,98,0.43,BR,1702530113
287,coahuayana de hidalgo,18.7,-103.6583,25.01,56,100,1.63,MX,1702530114
288,nandurbar,21.3667,74.25,25.28,45,74,4.89,IN,1702530114
289,callao,-12.0667,-77.15,21.51,83,75,6.17,PE,1702530001
290,conception bay south,47.4999,-52.9981,3.58,90,100,8.45,CA,1702530010
291,witbank,-25.8713,29.2332,16.72,70,46,4.22,ZA,1702530100
292,atamyrat,37.8357,65.2106,8.57,47,94,2.45,TM,1702530115
